Adams County	20605
Asotin County	22290
Benton County	207230
Chelan County	79185
Clallam County	77280
Clark County	505013
Columbia County	3949
Cowlitz County	110924
Douglas County	42998
Ferry County	7178
Franklin County	97076
Garfield County	2292
Grant County	99365
Grays Harbor County	75811
Island County	86948
Jefferson County	33048
King County	2272571
Kitsap County	275660
Kittitas County	44589
Klickitat County	22783
Lewis County	82474
Lincoln County	10920
Mason County	66028
Okanogan County	42118
Pacific County	23470
Pend Oreille County	13482
Pierce County	922828
San Juan County	17818
Skagit County	129852
Skamania County	12034
Snohomish County	829331
Spokane County	540700
Stevens County	46566
Thurston County	295729
Wahkiakum County	4443
Walla Walla County	62574
Whatcom County	227304
Whitman County	47786
Yakima County	256533
