Aurora County	2748
Beadle County	19121
Bennett County	3406
Bon Homme County	7014
Brookings County	34639
Brown County	38101
Brule County	5242
Buffalo County	1923
Butte County	10456
Campbell County	1380
Charles Mix County	9163
Clark County	3855
Clay County	15150
Codington County	28427
Corson County	3872
Custer County	8609
Davison County	19878
Day County	5414
Deuel County	4272
Dewey County	5246
Douglas County	2821
Edmunds County	4033
Fall River County	7202
Faulk County	2137
Grant County	7519
Gregory County	3977
Haakon County	1835
Hamlin County	6255
Hand County	3095
Hanson County	3505
Harding County	1327
Hughes County	17694
Hutchinson County	7411
Hyde County	1236
Jackson County	2878
Jerauld County	1636
Jones County	879
Kingsbury County	5192
Lake County	10851
Lawrence County	26165
Lincoln County	67870
Lyman County	3764
McCook County	5695
McPherson County	2420
Marshall County	4304
Meade County	30173
Mellette County	1908
Miner County	2314
Minnehaha County	199685
Moody County	6315
Oglala Lakota County	13586
Pennington County	111806
Perkins County	2819
Potter County	2475
Roberts County	10163
Sanborn County	2378
Spink County	6269
Stanley County	3032
Sully County	1476
Todd County	9286
Tripp County	5569
Turner County	8708
Union County	16872
Walworth County	5248
Yankton County	23297
Ziebach County	2380
